feature,fold_1,fold_2,fold_3,fold_4,fold_5,mean_imp,std_imp,pos_ratio
ix_shape_compactness,0.00048657684942399193,0.0006044564957984333,0.00046253969953358176,0.0003191436511605916,5.792487882505526e-05,0.0003861283149483308,0.00020964269781686872,1.0
curvature_std,0.00036582796085471436,6.336605616930058e-05,0.0006136405872052553,0.0006961488653344228,0.0001789062113666251,0.00038357793618606364,0.0002717400567690308,1.0
hd_turn_abs_p99,0.0008093904479090641,0.00014730191650158542,0.0005940741229234492,0.00048373928248302,-0.00012282155276799323,0.0003823368434098251,0.00037010685396156984,0.8
bbox_aspect_ratio,0.00023921927398973253,0.000463186834652185,0.00012025948170191203,0.0007256672044912982,0.00035994846158293736,0.000381656251283613,0.00023134312380819475,1.0
bounding_box_area,-0.00019834262309470496,-8.200338025776688e-05,0.0010671799395027826,0.0012011582496247453,-0.00013338730874112859,0.00037092097540678546,0.00069957108977182,0.4
net_displacement_speed_ratio,1.3761668870126975e-05,0.0009837734037518864,0.00013369126232076756,0.0006645887632634739,5.1688599042809535e-05,0.0003695007394498129,0.0004323103053183769,1.0
ix_turn_speed_ratio,0.0005951371524809401,9.269448141746572e-05,0.00031043958566989716,0.0005491289952018752,0.00023901358350275625,0.0003572827596545869,0.00021187763463703272,1.0
ix_area_per_length,0.0005199939067351833,0.00040637055465697625,0.00017533968664185107,0.0011104785142305174,-0.0004408194185810954,0.00035427264873668653,0.0005626307489368257,0.8
ix_turn_chaos,0.00047949417455162013,6.968240000304604e-05,0.00043843717527403125,0.0005655345921365962,0.0001886381747953081,0.0003483573033521203,0.00020955138919892722,1.0
hd_turn_abs_std,0.00014602600224700168,0.00042361866895590516,0.0002611736357577277,0.0008360443017015884,7.305497401810523e-05,0.0003479835165360656,0.00030324598215292794,1.0
rv_std,1.9699484847146564e-05,0.00027521028966215333,0.0008108507403208343,0.0004447852763066473,0.00011906414067042181,0.00033392198636144065,0.0003114877377413636,1.0
min_z,0.00042371971346144566,0.0004656905022044633,0.00015618274243722752,0.0003068931758540838,0.0003076257989993447,0.000332022386591313,0.00012085302650465825,1.0
pca_elongation,1.5220121787451468e-05,0.0004146839447131123,9.947127745357776e-05,0.00041932516505671646,0.0006812956429915751,0.0003259992304004866,0.00026958709967694,1.0
bbox_area,-0.00021633363346884593,8.255775855969816e-05,0.001045087411312151,0.00028296882735534545,0.0004098242606471736,0.00032082092488110446,0.0004688338390126594,0.8
curv_p10,0.00023845336758132607,0.0001909112282674208,0.0007917233122288758,8.281016577527112e-05,0.00027132443003563544,0.00031504450077770587,0.0002758360886716208,1.0
hd_turn_abs_mean,0.0004470163696163043,0.00010635165175820749,0.00011006054247719721,0.0007348670291261739,0.00013051257768537106,0.0003057616341326508,0.0002796693719557427,1.0
ix_turn_abs_mean_sq,0.0004891298438126634,0.00023366417855508193,0.00038040569163866333,0.000292753702673898,0.00011766918318001363,0.0003027245199720641,0.0001413289910254237,1.0
ix_alt_peak_vs_median,0.0004514601986990163,8.944833316193446e-05,0.00041127663618956145,0.0001163465499984806,0.0004391572248514386,0.00030153778858008626,0.00018216488747637842,1.0
ix_alt_peak_ratio,0.0005310323003760997,0.00029299280971395447,0.00040388470158725376,0.00017685065055894622,6.753864962183442e-05,0.0002944598223716177,0.0001825291960230437,1.0
straightness_index,-3.75378055391673e-05,0.0003034587920219822,0.00025591859648088633,0.0007898080857063894,0.0001409999701555975,0.0002905295277651376,0.0003084766703653556,0.8
path_length,-0.00023556948112812837,-4.410480040950571e-05,0.00036812946331776786,0.001171875575871173,0.00018814698825808662,0.00028969554918187865,0.0005436063865647175,0.6
ix_alt_spread_ratio,0.0003852784492651695,0.0006415932970227356,-0.00015321393428902041,0.0002093901175697077,0.0003280126813266504,0.00028221212217904856,0.00029016119780043894,0.8
ix_movement_density,-0.00022057735750147245,0.0005883037932659096,0.00038509832550492895,0.0006441892212823985,-7.0935890016388115e-06,0.00027798407871002515,0.0003780577918321915,0.6
turn_p90,0.0001933877563208286,0.00041087886021451414,0.0006271373215599452,-1.3585220143275123e-05,0.00015253163652872992,0.00027407007089614855,0.00024869656295510947,0.8
acc_energy_xy_mean,0.0004960446010175978,0.00011768778781373612,0.0008761448691853024,0.0,-0.0001450430324848595,0.0002689668451063554,0.0004143857369164034,0.6
acc_energy_vertical_std,8.380097310867196e-05,0.0003148731031652474,0.0004364381829204955,6.209081394070726e-05,0.00041945495119566356,0.00026333160486615716,0.0001800874900938869,1.0
acceleration_std_xy,0.000566993222860579,-0.000352275055803708,0.0009668021066575605,0.0005783021001495303,-0.0004682042138973719,0.000258323631993318,0.0006325105441544722,0.6
hd_turn_abs_p90,7.96255271947599e-05,-0.00015194051919431573,0.0007109299861339791,0.00030663645760420355,0.0002827082788195989,0.00024559194611164516,0.00031906913796589994,0.8
ix_disp_per_perimeter,5.682967752329571e-05,0.00037441403444338217,0.0003605783749680569,0.00031942108000215796,9.136764446759926e-05,0.0002405221622808984,0.00015374944389662446,1.0
